Date,Daily_Max_1-hour_NO2_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY
03/17/2019,39.3,ppb,37,San Francisco,San Francisco
03/18/2019,45.5,ppb,42,San Francisco,San Francisco
03/19/2019,30.2,ppb,28,San Francisco,San Francisco
03/20/2019,13.2,ppb,12,San Francisco,San Francisco
03/21/2019,15.0,ppb,14,San Francisco,San Francisco
03/22/2019,16.4,ppb,15,San Francisco,San Francisco
03/23/2019,11.9,ppb,10,San Francisco,San Francisco
03/24/2019,22.2,ppb,21,San Francisco,San Francisco
03/25/2019,27.0,ppb,25,San Francisco,San Francisco
03/26/2019,38.8,ppb,36,San Francisco,San Francisco
03/27/2019,8.2,ppb,8,San Francisco,San Francisco
03/28/2019,20.3,ppb,19,San Francisco,San Francisco
03/29/2019,31.9,ppb,29,San Francisco,San Francisco
03/30/2019,20.9,ppb,19,San Francisco,San Francisco
03/31/2019,17.4,ppb,16,San Francisco,San Francisco
04/01/2019,27.2,ppb,25,San Francisco,San Francisco
04/02/2019,15.6,ppb,14,San Francisco,San Francisco
04/03/2019,12.8,ppb,11,San Francisco,San Francisco
04/04/2019,12.4,ppb,11,San Francisco,San Francisco
04/05/2019,12.9,ppb,11,San Francisco,San Francisco
04/06/2019,9.4,ppb,8,San Francisco,San Francisco
04/07/2019,6.5,ppb,6,San Francisco,San Francisco
04/08/2019,13.1,ppb,12,San Francisco,San Francisco
04/09/2019,13.2,ppb,12,San Francisco,San Francisco
04/10/2019,17.4,ppb,16,San Francisco,San Francisco
04/11/2019,20.4,ppb,19,San Francisco,San Francisco
04/12/2019,24.2,ppb,23,San Francisco,San Francisco
04/13/2019,19.7,ppb,18,San Francisco,San Francisco
04/14/2019,6.0,ppb,6,San Francisco,San Francisco
04/15/2019,7.8,ppb,7,San Francisco,San Francisco
04/16/2019,10.9,ppb,9,San Francisco,San Francisco
04/17/2019,12.6,ppb,11,San Francisco,San Francisco
04/18/2019,24.3,ppb,23,San Francisco,San Francisco
04/19/2019,23.8,ppb,22,San Francisco,San Francisco
04/20/2019,5.1,ppb,5,San Francisco,San Francisco
04/21/2019,12.4,ppb,11,San Francisco,San Francisco
04/22/2019,25.5,ppb,24,San Francisco,San Francisco
04/23/2019,32.0,ppb,30,San Francisco,San Francisco
04/24/2019,25.8,ppb,24,San Francisco,San Francisco
04/25/2019,5.9,ppb,5,San Francisco,San Francisco
04/26/2019,16.2,ppb,15,San Francisco,San Francisco
04/27/2019,4.9,ppb,4,San Francisco,San Francisco
04/28/2019,3.4,ppb,3,San Francisco,San Francisco
04/29/2019,11.2,ppb,10,San Francisco,San Francisco
04/30/2019,6.2,ppb,6,San Francisco,San Francisco
05/01/2019,12.2,ppb,11,San Francisco,San Francisco
05/02/2019,20.2,ppb,19,San Francisco,San Francisco
05/03/2019,8.1,ppb,8,San Francisco,San Francisco
05/04/2019,4.7,ppb,4,San Francisco,San Francisco
05/05/2019,3.0,ppb,3,San Francisco,San Francisco
05/06/2019,8.4,ppb,8,San Francisco,San Francisco
05/07/2019,10.2,ppb,9,San Francisco,San Francisco
05/08/2019,7.3,ppb,7,San Francisco,San Francisco
05/09/2019,7.5,ppb,7,San Francisco,San Francisco
05/10/2019,7.0,ppb,7,San Francisco,San Francisco
05/11/2019,4.5,ppb,4,San Francisco,San Francisco
05/12/2019,4.5,ppb,4,San Francisco,San Francisco
05/13/2019,9.4,ppb,8,San Francisco,San Francisco
05/14/2019,8.0,ppb,8,San Francisco,San Francisco
05/15/2019,15.2,ppb,14,San Francisco,San Francisco
