Date,Daily_Mean_PM10_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY,Daily_Max_1-hour_NO2_Concentration,Daily_Max_8-hour_Ozone_Concentration,Daily_Mean_PM2.5_Concentration,Daily_Max_8-hour_CO_Concentration,Daily_Max_1-hour_SO2_Concentration
05/31/2018,,ug/m3 LC,20,San Francisco,San Francisco,,,4.7,,
06/01/2018,,ug/m3 LC,15,San Francisco,San Francisco,,,3.6,,
06/02/2018,,ug/m3 LC,39,San Francisco,San Francisco,,,9.3,,
06/03/2018,,ug/m3 LC,33,San Francisco,San Francisco,,,8.0,,
06/04/2018,,ug/m3 LC,42,San Francisco,San Francisco,,,10.0,,
06/05/2018,,ug/m3 LC,34,San Francisco,San Francisco,,,8.1,,
06/06/2018,,ug/m3 LC,15,San Francisco,San Francisco,,,3.5,,
06/07/2018,,ug/m3 LC,19,San Francisco,San Francisco,,,4.5,,
06/08/2018,,ug/m3 LC,5,San Francisco,San Francisco,,,1.1,,
06/09/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-0.2,,
06/10/2018,,ug/m3 LC,16,San Francisco,San Francisco,,,3.9,,
06/11/2018,,ug/m3 LC,18,San Francisco,San Francisco,,,4.3,,
06/12/2018,,ug/m3 LC,37,San Francisco,San Francisco,,,8.9,,
06/13/2018,,ug/m3 LC,32,San Francisco,San Francisco,,,7.7,,
06/14/2018,,ug/m3 LC,33,San Francisco,San Francisco,,,8.0,,
06/15/2018,,ug/m3 LC,36,San Francisco,San Francisco,,,8.7,,
06/16/2018,,ug/m3 LC,27,San Francisco,San Francisco,,,6.5,,
06/17/2018,,ug/m3 LC,21,San Francisco,San Francisco,,,5.0,,
06/18/2018,,ug/m3 LC,8,San Francisco,San Francisco,,,1.9,,
06/19/2018,,ug/m3 LC,0,San Francisco,San Francisco,,,-0.5,,
06/20/2018,,ug/m3 LC,4,San Francisco,San Francisco,,,1.0,,
06/21/2018,,ug/m3 LC,10,San Francisco,San Francisco,,,2.5,,
06/22/2018,,ug/m3 LC,41,San Francisco,San Francisco,,,9.9,,
06/23/2018,,ug/m3 LC,56,San Francisco,San Francisco,,,14.3,,
06/24/2018,,ug/m3 LC,38,San Francisco,San Francisco,,,9.2,,
06/25/2018,,ug/m3 LC,27,San Francisco,San Francisco,,,6.5,,
06/26/2018,,ug/m3 LC,50,San Francisco,San Francisco,,,12.0,,
06/27/2018,,ug/m3 LC,52,San Francisco,San Francisco,,,12.7,,
06/28/2018,,ug/m3 LC,56,San Francisco,San Francisco,,,14.6,,
06/29/2018,,ug/m3 LC,54,San Francisco,San Francisco,,,13.3,,
06/30/2018,,ug/m3 LC,50,San Francisco,San Francisco,,,12.0,,
07/01/2018,,ug/m3 LC,20,San Francisco,San Francisco,,,4.8,,
07/02/2018,,ug/m3 LC,16,San Francisco,San Francisco,,,3.9,,
07/03/2018,,ug/m3 LC,58,San Francisco,San Francisco,,,15.4,,
07/04/2018,,ug/m3 LC,44,San Francisco,San Francisco,,,10.5,,
07/05/2018,,ug/m3 LC,36,San Francisco,San Francisco,,,8.7,,
07/06/2018,,ug/m3 LC,26,San Francisco,San Francisco,,,6.2,,
07/07/2018,,ug/m3 LC,30,San Francisco,San Francisco,,,7.1,,
07/08/2018,,ug/m3 LC,42,San Francisco,San Francisco,,,10.1,,
